Category,Feed Name,Title,Link,Published Date
Λογοτεχνικά Περιοδικά,Vakxikon,"#Το ποίημα της εβδομάδας: ""Συλλέκτες μίσους"" | Γιάννης Μπερούκας",https://www.vakxikon.gr/to-poihma-ths-evdomadas-syllektes-misous-giannis-mperoukas/,"Sat, 01 Mar 2025 09:19:30 +0000"
Λογοτεχνικά Περιοδικά,Vakxikon,Οι συνέπειες των απραγματοποίητων και αποσιωπημένων,https://www.vakxikon.gr/oi-synepeies-ton-apragmatopoihton-kai-aposiophmenon/,"Wed, 26 Feb 2025 08:43:35 +0000"
Λογοτεχνικά Περιοδικά,Vakxikon,"""Η αφύπνιση"" της Κέιτ Σοπέν",https://www.vakxikon.gr/i-afipnisi-ths-keit-sopen/,"Tue, 25 Feb 2025 12:54:18 +0000"
Λογοτεχνικά Περιοδικά,Vakxikon,"Με τον Μιχάλη Σκολιανό για το μυθιστόρημά του ""Αδιέξοδο""",https://www.vakxikon.gr/me-ton-mixali-skoliano-gia-to-mythistorhma-tou-adiexodo/,"Tue, 25 Feb 2025 12:46:16 +0000"
Λογοτεχνικά Περιοδικά,Vakxikon,"Μία συζήτηση με την Ευγενία Μακαριάδη για ""Το γέλιο των σκύλων""",https://www.vakxikon.gr/mia-syzhthsh-me-thn-evgenia-makariadh-gia-to-gelio-ton-skylon/,"Tue, 25 Feb 2025 11:59:40 +0000"
Λογοτεχνικά Περιοδικά,Vakxikon,Ποιητικά χειρόγραφα με την Ασημίνα Ξηρογιάννη: Φιλοξενούμε τη Λίλια Τσούβα,https://www.vakxikon.gr/poihtika-xeirografa-me-thn-ashmina-xirogianni-filoxenoume-th-lilia-tsouva/,"Tue, 25 Feb 2025 11:37:44 +0000"
Λογοτεχνικά Περιοδικά,Vakxikon,"Δημήτρης Τσεκούρας: ""Άπαξ και μπεις μέσα στο Θέατρο, δεν υπάρχει τίποτε πια έξω από το Θέατρο""",https://www.vakxikon.gr/dimitris-tsekouras-apax-kai-mpeis-mesa-sto-theatro-den-yparxei-tipote-pia-exo-apo-to-theatro/,"Tue, 25 Feb 2025 10:13:39 +0000"
Λογοτεχνικά Περιοδικά,Vakxikon,"Μια συζήτηση με τον Βασίλη Κομίνη για τα ""Ίχνη που έπονται""",https://www.vakxikon.gr/mia-syzhthsh-me-ton-vasili-komini-gia-ta-ixni-pou-epontai/,"Tue, 25 Feb 2025 09:56:18 +0000"
Λογοτεχνικά Περιοδικά,Vakxikon,"""εννιά"", του Αντώνη Μυλωνάκη",https://www.vakxikon.gr/ennia-tou-antoni-mylonaki/,"Tue, 25 Feb 2025 09:04:12 +0000"
Λογοτεχνικά Περιοδικά,Vakxikon,"""Η βασίλισσα της νύχτας"". Του Αθανάσιου Φετ",https://www.vakxikon.gr/i-vasilissa-ths-nyxtas-tou-athanasiou-fet/,"Tue, 25 Feb 2025 08:56:16 +0000"
